日期,时间,行程,类型,地点/电视台,相关资源
3月1日,暂无,D.O.《纯情》舞台问候,活动,"
                                                                            首尔
                                                                        ","
"
3月2日,23:00,XIUMIN：《OOTD》音源以及MV公开,新歌,"
                                                                            暂无
                                                                        ","
"
3月3日,暂无,灿烈：首尔飞北京,机场,"
                                                                            北京
                                                                        ","
                                                                                    暂无
                                                                            "
3月5日,19:30,2016 EXO PLANET #2-The EXO’LuXion-in DALIAN ,演出,"
                                                                            爱豆TV
                                                                        ","
"
3月5日,暂无,仁川飞大连,机场,"
                                                                            仁川机场
                                                                        ","
"
3月5日,暂无,灿烈：北京赴大连,高铁,"
                                                                            北京-沈阳-大连
                                                                        ","
                                                                                    暂无
                                                                            "
3月6日,暂无,大连返韩国,机场,"
                                                                            大连
                                                                        ","
"
3月7日,暂无,仁川赴泰国,机场,"
                                                                            仁川机场
                                                                        ","
"
3月8日,暂无,自然乐园签售会,签名会,"
                                                                            曼谷
                                                                        ","
"
3月8日,暂无,艺兴：韩国返上海,机场,"
                                                                            金浦机场
                                                                        ","
"
3月8日,暂无,曼谷返韩,机场,"
                                                                            仁川机场
                                                                        ","
"
3月9日,暂无,EXO二巡日本场DVD发行,专辑,"
                                                                            暂无
                                                                        ","
"
3月11日,暂无,仁川赴吉隆坡,机场,"
                                                                            仁川机场
                                                                        ","
"
3月12日,暂无,EXO Planet #2 The EXO'luXion-in Malaysia ,演出,"
                                                                            吉隆坡
                                                                        ","
"
3月12日,暂无,LAY：浦东机场赴吉隆坡,机场,"
                                                                            浦东机场
                                                                        ","
"
3月14日,13:00,SUHO：《光荣日》媒体试映会,试映会,"
                                                                            首尔
                                                                        ","
"
3月14日,20:00,《Glory Day》电影访谈,访谈,"
                                                                            VAPP
                                                                        ","
"
3月14日,暂无,马拉西亚返韩,机场,"
                                                                            仁川机场
                                                                        ","
                                                                                    暂无
                                                                            "
3月15日,13:00,SUHO：《两点出逃》,电台,"
                                                                            SBS-R FM
                                                                        ","
"
3月15日,16:20,SUHO：《光荣日》舞台问候,见面会,"
                                                                            首尔
                                                                        ","
"
